ticker,entity,stage,status,fcf_positive_streak,fcf_cv,gross_margin_latest,roic_avg,asset_cagr,rev_cagr,net_debt_ebitda,pe,fcf_yield,score,reason
DECK,DECKERS OUTDOOR CORP,L4,pass_valuation,14,0.5580431018804162,0.5770385958654284,1.1374172086376884,0.12994151685149902,0.1469097911350663,-1.4247278654431692,14.716524,0.07648090026310503,0.5047,FCF yield 7.6% >= UST 4.6% / P/E 15 <= 30
DG,DOLLAR GENERAL CORP,L4,pass_valuation,15,0.4949172013778453,0.30660930299520633,0.29909193848793325,0.021102946475387574,0.04125293834210786,-0.35030950902557734,17.425741,0.08806718710023953,0.3182,FCF yield 8.8% >= UST 4.6% / P/E 17 <= 30
DLTR,"DOLLAR TREE, INC.",L4,pass_valuation,16,0.5398395102745529,0.36351871806637553,0.12613927326838592,-0.16369112015779697,-0.11851835970079172,0.74478532939336,20.182985,0.04373028382060141,0.2451,P/E 20 <= 30
FDS,FACTSET RESEARCH SYSTEMS INC.,L4,pass_valuation,15,0.17376967298413903,0.5271743531167035,0.23436130050077733,0.02352026822582798,0.07984113351802002,1.137545061004819,16.27884,0.07030174456882789,0.4098,FCF yield 7.0% >= UST 4.6% / P/E 16 <= 30
FISV,FISERV INC,L4,pass_valuation,17,0.2597936470397302,,0.13249855741681527,-0.015074656897135164,0.06113528837230442,,8.577966,0.15929310826897536,0.441,FCF yield 15.9% >= UST 4.6% / P/E 9 <= 30
FOX,FOX CORPORATION,L4,pass_valuation,7,0.25695033607960155,,0.1496371370554628,0.014950779070138864,0.052662023078771325,0.3250194855806703,13.544737,0.13848604477320586,0.3926,FCF yield 13.8% >= UST 4.6% / P/E 14 <= 30
FOXA,FOX CORPORATION,L4,pass_valuation,7,0.25695033607960155,,0.1496371370554628,0.014950779070138864,0.052662023078771325,0.3250194855806703,15.150001,0.12381234138782765,0.3621,FCF yield 12.4% >= UST 4.6% / P/E 15 <= 30
GDDY,GoDaddy Inc.,L4,pass_valuation,9,0.31656540900540014,,0.1964472600706213,0.04835866776475717,0.06564722266304868,2.1701101374708576,14.630745,0.1288849886806994,0.3548,FCF yield 12.9% >= UST 4.6% / P/E 15 <= 30
GRMN,GARMIN LTD,L4,pass_valuation,15,0.32959046873410236,0.5874393538958355,0.2102513417473349,0.12451644589990085,0.14235886942453901,,26.411829,0.02986262624959199,0.2516,P/E 26 <= 30
INTU,INTUIT INC.,L4,pass_valuation,16,0.33832078825571504,,0.15150886135399302,0.10043733545158684,0.1395336514824015,,17.67805,0.07720936427563822,0.212,FCF yield 7.7% >= UST 4.6% / P/E 18 <= 30
JKHY,"JACK HENRY & ASSOCIATES, INC.",L4,pass_valuation,15,0.1659963267609927,0.4271233635668601,0.2256595022446134,0.0742277573050103,0.06927595521734675,,20.825174,0.05559319074278143,0.3402,FCF yield 5.6% >= UST 4.6% / P/E 21 <= 30
KO,COCA COLA CO,L4,pass_valuation,17,0.26825314704623343,0.6162574831563797,0.31932082280032736,0.041559934301033774,0.03689014114187783,-0.6933567377801783,25.77673,0.01501668053236476,0.3008,P/E 26 <= 30
